##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR292678_2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6111112
Total Bases	550 Mbp
Sequences flagged as poor quality	0
Sequence length	90
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.1730100839258	39.0	38.0	39.0	36.0	39.0
2	37.98140714815896	39.0	38.0	39.0	36.0	39.0
3	37.9529170795757	39.0	38.0	39.0	36.0	39.0
4	37.93062702827243	39.0	38.0	39.0	36.0	39.0
5	37.9331548824502	39.0	38.0	39.0	36.0	39.0
6	37.970711876987366	39.0	38.0	39.0	36.0	39.0
7	37.919555557155554	39.0	38.0	39.0	36.0	39.0
8	37.899219487386254	39.0	38.0	39.0	36.0	39.0
9	37.85797560247627	39.0	38.0	39.0	36.0	39.0
10-11	37.847246213127825	39.0	38.0	39.0	36.0	39.0
12-13	37.75040589994096	39.0	37.5	39.0	35.0	39.0
14-15	37.68984253602291	39.0	37.0	39.0	35.0	39.0
16-17	37.62404190923027	39.0	37.0	39.0	35.0	39.0
18-19	37.508390371506856	39.0	37.0	39.0	35.0	39.0
20-21	37.43861297256538	39.0	37.0	39.0	35.0	39.0
22-23	37.29922778374869	39.0	37.0	39.0	34.0	39.0
24-25	37.179732837493404	39.0	37.0	39.0	34.0	39.0
26-27	37.03223390440234	38.5	36.5	39.0	33.0	39.0
28-29	36.87760901780233	38.0	36.0	39.0	33.0	39.0
30-31	37.013582143478956	38.0	36.5	39.0	33.0	39.0
32-33	36.94680755319163	38.0	36.0	39.0	33.0	39.0
34-35	36.896576924134266	38.0	36.0	39.0	33.0	39.0
36-37	36.924919147284484	38.5	36.0	39.0	33.0	39.0
38-39	36.806976291712544	38.0	36.0	39.0	33.0	39.0
40-41	36.67890811034064	38.0	36.0	39.0	33.0	39.0
42-43	36.56235346365768	38.0	36.0	39.0	33.0	39.0
44-45	36.40484628656781	38.0	36.0	39.0	32.0	39.0
46-47	36.09905365831947	37.0	35.0	39.0	31.5	39.0
48-49	35.86706404660886	37.0	35.0	39.0	31.0	39.0
50-51	36.16098003113018	37.5	35.5	39.0	32.0	39.0
52-53	36.49410009176726	38.0	36.0	39.0	33.0	39.0
54-55	36.40462374114564	38.0	36.0	39.0	32.0	39.0
56-57	36.75377419036012	38.0	36.0	39.0	33.0	39.0
58-59	36.6070423844302	38.0	36.0	39.0	33.0	39.0
60-61	36.498686491100145	38.0	36.0	39.0	32.0	39.0
62-63	36.31381809071737	38.0	36.0	39.0	31.5	39.0
64-65	36.19940168008703	38.0	35.5	39.0	31.0	39.0
66-67	36.03185721354804	38.0	35.5	39.0	31.0	39.0
68-69	35.794626575327044	37.0	35.0	39.0	30.5	39.0
70-71	35.63826779807014	37.0	35.0	39.0	30.0	39.0
72-73	35.38464709859679	37.0	34.5	39.0	29.5	39.0
74-75	35.168573984571054	37.0	34.0	39.0	29.0	39.0
76-77	34.88284996249455	37.0	33.5	38.5	28.0	39.0
78-79	34.60084351260458	36.0	33.0	38.0	27.5	39.0
80-81	34.36438998336146	36.0	33.0	38.0	27.0	39.0
82-83	34.001486145238374	36.0	32.5	38.0	26.0	39.0
84-85	33.737593665440926	36.0	32.0	38.0	26.0	39.0
86-87	33.65017659633795	35.5	32.0	37.5	26.0	39.0
88-89	33.25672332629479	35.0	31.0	37.0	25.0	39.0
90	33.38595692567899	35.0	31.0	37.0	26.0	39.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	22-23	0.0839070789050993
1103	24-25	0.055620493705667684
1103	26-27	0.04507785200201653
1103	28-29	0.038158146341771726
1103	30-31	0.0544153280984645
1103	32-33	0.06681521791892209
1103	34-35	0.04810077922704181
1103	36-37	0.04106285073754634
1103	38-39	0.05785389046146605
1103	40-41	0.03663840886787284
1103	42-43	-0.010338142021858232
1103	44-45	-0.008329392092917942
1103	46-47	-0.05678610600317313
1103	48-49	-0.05005390639921359
1103	50-51	-0.007298269092622434
1103	52-53	0.05388965828305459
1103	54-55	0.03033802546094222
1103	56-57	0.031430629527157805
1103	58-59	0.0038308086958380727
1103	60-61	-2.153886129718785E-4
1103	62-63	0.00335555721406422
1103	64-65	-0.03131285930305694
1103	66-67	-0.05232506191283903
1103	68-69	-0.04032558745264225
1103	70-71	-0.08085388530235349
1103	72-73	-0.055834953149663136
1103	74-75	-0.08962891503255577
1103	76-77	-0.08446821678440841
1103	78-79	-0.09371867986333626
1103	80-81	-0.12811498523131348
1103	82-83	-0.09663841049761146
1103	84-85	-0.12188755373405513
1103	86-87	-0.14136283039042752
1103	88-89	-0.1553815209829139
1103	90	-0.2265299567932999
1104	1	0.04780752038054459
1104	2	0.07984451779061175
1104	3	0.050600638497535044
1104	4	0.050678856188248744
1104	5	0.04670972476498747
1104	6	0.0656782321413587
1104	7	0.04176404148051205
1104	8	0.04698650804081694
1104	9	-0.046080156280844164
1104	10-11	0.01859657008877491
1104	12-13	0.031892611925783854
1104	14-15	0.0612673123006644
1104	16-17	0.05602868046232601
1104	18-19	0.051647643451488534
1104	20-21	0.037882672986285115
1104	22-23	0.053563114809705326
1104	24-25	0.030632953091398463
1104	26-27	0.05379044673577482
1104	28-29	0.017052293022146614
1104	30-31	0.08348489508396284
1104	32-33	0.10784718010432215
1104	34-35	0.08068636425023357
1104	36-37	0.07693320047383878
1104	38-39	0.08075823508388424
1104	40-41	0.01382560222825191
1104	42-43	0.07440550138812796
1104	44-45	0.057555502320532526
1104	46-47	0.017371388977267088
1104	48-49	-0.008125668895239357
1104	50-51	0.06583583633623391
1104	52-53	0.037743400138303684
1104	54-55	0.06492432075279453
1104	56-57	0.0549755298696013
1104	58-59	0.10529779006962059
1104	60-61	0.02068367688621464
1104	62-63	0.05638437384741479
1104	64-65	0.08160970389447186
1104	66-67	0.09027819009730109
1104	68-69	0.09663963181516522
1104	70-71	0.11109907605581526
1104	72-73	0.0936212689388114
1104	74-75	0.07714973386185875
1104	76-77	0.13597336572714624
1104	78-79	0.048857985031347084
1104	80-81	0.14124967568751146
1104	82-83	0.044391406520126964
1104	84-85	0.10220494465200858
1104	86-87	0.0660870513380516
1104	88-89	-0.007776497919991243
1104	90	0.06559230268186411
1105	1	0.004171643969250738
1105	2	-0.005721299223282017
1105	3	-0.05839474376027454
1105	4	-0.03506952946177222
1105	5	-0.03042046701368406
1105	6	-0.017049932359562092
1105	7	3.3922428499977286E-5
1105	8	-0.018984810931925722
1105	9	0.008916127603242785
1105	10-11	-0.017208665382526078
1105	12-13	-0.0049537434700184235
1105	14-15	-0.014110522658270952
1105	16-17	0.0018710565239032917
1105	18-19	-0.0222306840627553
1105	20-21	-0.02140371816861375
1105	22-23	-0.008479365329137067
1105	24-25	-0.03986483235057392
1105	26-27	-0.007875598300771003
1105	28-29	-0.021857271735228778
1105	30-31	-0.00894878149006928
1105	32-33	-0.014526785944767084
1105	34-35	-0.008641428198494339
1105	36-37	-0.01913541164397259
1105	38-39	0.01590925364696716
1105	40-41	-0.009804063162491161
1105	42-43	0.029146917829002916
1105	44-45	0.021346712657766886
1105	46-47	0.045925203021838
1105	48-49	0.06810558946217782
1105	50-51	0.038382718126833026
1105	52-53	0.018590106889107005
1105	54-55	0.048355318568724215
1105	56-57	0.017544489030967725
1105	58-59	0.022127519098908977
1105	60-61	0.03283259912780778
1105	62-63	0.0012146140213289414
1105	64-65	0.042360479456306166
1105	66-67	0.02499302647903079
1105	68-69	0.024812829808340098
1105	70-71	0.06301575424495809
1105	72-73	0.01055947575720495
1105	74-75	0.07057778076336518
1105	76-77	0.1549873672958384
1105	78-79	0.14153834676977084
1105	80-81	0.11041281190703245
1105	82-83	0.13277407729695057
1105	84-85	0.049757074508463006
1105	86-87	0.05457095582846705
1105	88-89	0.09932296808676
1105	90	0.053303560930885396
1106	1	-0.04608298008452749
1106	2	-0.13745747655256224
1106	3	-0.07515553807618147
1106	4	-0.05100226509630801
1106	5	-0.067468526741564
1106	6	-0.09923011093614065
1106	7	-0.0446363144827302
1106	8	-0.04607262849177829
1106	9	-0.07269215369100124
1106	10-11	-0.062304973185284496
1106	12-13	-0.07783215546056965
1106	14-15	-0.07048606290888415
1106	16-17	-0.0832161064030501
1106	18-19	-0.05745178621025815
1106	20-21	-0.08670242176850707
1106	22-23	-0.04535873566912585
1106	24-25	-0.03362631502890423
1106	26-27	-0.060490772124076386
1106	28-29	-0.05767228419407644
1106	30-31	-0.06246589324650387
1106	32-33	-0.02300025763501168
1106	34-35	-0.07746185505222769
1106	36-37	-0.0284306099889875
1106	38-39	-0.044194532582714885
1106	40-41	-0.04265863009625548
1106	42-43	-0.03642030636522264
1106	44-45	-0.051550317873321205
1106	46-47	-0.05669549095040338
1106	48-49	-0.04345748602105459
1106	50-51	-0.10082281172264373
1106	52-53	-0.0886564054031922
1106	54-55	-0.07132448428563265
1106	56-57	-0.019690431769582517
1106	58-59	-0.014659589663203576
1106	60-61	-9.783166250798558E-5
1106	62-63	0.041782075910496985
1106	64-65	0.007697391106326279
1106	66-67	0.0038481177091753693
1106	68-69	0.03407705378242554
1106	70-71	0.030366537713085506
1106	72-73	0.09580459815047959
1106	74-75	0.06887036315027473
1106	76-77	0.1416627852732617
1106	78-79	0.09905508376498773
1106	80-81	0.12495335367740523
1106	82-83	0.19140952046432602
1106	84-85	0.20333177964383964
1106	86-87	0.24334530394117593
1106	88-89	0.3038993599895008
1106	90	0.20784443278228792
1107	1	-0.10133987032853042
1107	2	-0.12912252772783006
1107	3	-0.13304550985015595
1107	4	-0.1568117909505986
1107	5	-0.15684742858438483
1107	6	-0.16648089224539575
1107	7	-0.16089053545550058
1107	8	-0.1548975551348093
1107	9	-0.15567855009221176
1107	10-11	-0.14058919194197017
1107	12-13	-0.15853391921734783
1107	14-15	-0.14404702388918622
1107	16-17	-0.12422310473770182
1107	18-19	-0.2180465532032727
1107	20-21	-0.16218021200872101
1107	22-23	-0.20754461342158947
1107	24-25	-0.18250404040625057
1107	26-27	-0.183736598402497
1107	28-29	-0.2429358820540486
1107	30-31	-0.21244477361820913
1107	32-33	-0.2008603017518098
1107	34-35	-0.19907480963263424
1107	36-37	-0.12000000092386642
1107	38-39	-0.1294703940233788
1107	40-41	-0.10885594368383522
1107	42-43	-0.08110845838968572
1107	44-45	-0.10516952395939683
1107	46-47	-0.10912824656327302
1107	48-49	-0.052275327975522146
1107	50-51	-0.136389457752486
1107	52-53	-0.20968888761003512
1107	54-55	-0.15841723716978606
1107	56-57	-0.09889381105762851
1107	58-59	-0.09455412603391977
1107	60-61	-0.11604787464309396
1107	62-63	-0.05014852860941943
1107	64-65	-0.05068447076129701
1107	66-67	-0.00784687505293391
1107	68-69	-0.03374852150918173
1107	70-71	0.04484456078042598
1107	72-73	0.0697962058284105
1107	74-75	0.03231320883386246
1107	76-77	0.15433151778038479
1107	78-79	0.0753012775172337
1107	80-81	0.19079951904107162
1107	82-83	0.24556156709581245
1107	84-85	0.22748893855928287
1107	86-87	0.30458232632225446
1107	88-89	0.326786958339234
1107	90	0.32084924593495145
